Name,detail
Getstarted
Messaging
Officehub,ad for office
Onenote
Oneconnect,paid wifi
People
Skypeapp
Communicationsapps,confuses people with outlook
Feedbackhub
Maps
Xbox
Zune
Duolingo
Photoshopexpress
Eclipsemanager
wallet
a278ab0d.disneymagickingdoms
